,DCU,Maynooth U,TU Dublin,Letterkeny,National College of Ireland,TCD,AIT,Dundalk,Waterford,Cork IT,DIT,Blanchardstown,Carlow IT,Galway Mayo,Tallaght,National College of Art & Design,IADT,LIT,UL,Sligo,NUIG,Mary Immaculate College,Total sitting Leaving Cert,Year,Total of main colleges,School,Roll Number
0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,48.0,2013,37.0,st.-cuans-college,62930V
0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,21.0,2013,16.0,st.-jarlaths-vocational-school,71290M
0,0.0,2.0,1.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,1.0,0.0,2.0,14.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,4.0,87.0,2013,84.0,holy-rosary-college,63090I
0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,19.0,2013,15.0,tuam-vocational-school,71390Q
0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,30.0,2013,19.0,coláiste-mhuire,62900M
0,0.0,4.0,1.0,2.0,1.0,3.0,12.0,1.0,1.0,1.0,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,2.0,84.0,2013,66.0,scoil-mhuire,62890M
0,0.0,1.0,0.0,2.0,0.0,1.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,59.0,2013,48.0,st.-brigids-school,63160D
0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2013,1.0,scoil-aine,63060W
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2013,11.0,st.-jarlaths-college,63150A
0,0.0,1.0,3.0,1.0,1.0,1.0,7.0,2.0,1.0,1.0,3.0,1.0,2.0,10.0,1.0,0.0,1.0,2.0,11.0,1.0,0.0,1.0,42.0,2013,50.0,colaiste-sheosaimh,62880J
0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,46.0,2013,34.0,scoil-chuimsitheach-chiaráin,81012N
0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,27.0,2013,17.0,gairm-scoil-chilleáin-naofa,71310P
0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,9.0,2013,7.0,gairmscoil-na-bpiarsach,71380N
0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,13.0,2013,8.0,gairmscoil-einne-oileain-arann,71300M
0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,14.0,2013,9.0,gairmscoil-fheichin-naofa,71320S
